periode_data,id_kel,nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,odp,proses_pemantauan,selesai_pemantauan,odp_meninggal,pdp,masih_dirawat,pulang_dan_sehat,pdp_meninggal,positif,dirawat,sembuh,meninggal,self_isolation,keterangan
202007,3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,59,8,3,3,45,0,0,0,0,0,0,116,8,108
202007,3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,142,12,0,3,127,0,0,0,3,0,3,330,18,312
202007,3173051005,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,DURI KEPA,153,1,4,2,146,0,0,0,7,0,7,540,26,514
202007,3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,142,0,3,0,139,0,0,0,3,1,2,256,25,231
202007,3175071001,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,344,14,2,3,325,2,0,2,1,0,1,247,36,211
202007,3175041003,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,91,1,7,1,82,0,0,0,1,0,1,195,82,113
202007,3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,190,9,6,9,166,0,0,0,15,6,9,718,183,535
202007,3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,98,4,4,4,86,0,0,0,6,0,6,333,23,310
202007,3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,98,2,5,1,90,0,0,0,4,0,4,222,22,200
202007,3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,77,3,4,2,68,0,0,0,2,0,2,204,24,180
202007,3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,72,1,3,2,66,0,0,0,1,0,1,88,6,82
202007,3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,57,3,3,0,51,0,0,0,3,0,3,266,11,255
202007,3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,65,3,2,1,59,0,0,0,1,0,1,115,5,110
202007,3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,64,3,3,2,56,0,0,0,3,0,3,286,49,237
202007,3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,114,9,1,3,101,0,0,0,9,0,9,228,64,164
202007,3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,97,3,2,1,91,0,0,0,42,0,42,165,13,152
202007,3174091006,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,238,4,90,0,144,1,0,1,0,0,0,124,13,111
202007,3175101001,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,149,5,5,2,137,0,0,0,2,0,2,151,15,136
202007,3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,165,6,9,1,149,0,0,0,4,0,4,544,60,484
202007,3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,98,2,14,1,81,0,0,0,3,2,1,254,79,175
202007,3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,111,2,4,1,104,0,0,0,1,0,1,134,14,120
202007,3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,90,4,8,1,77,0,0,0,17,0,17,147,50,97
202007,3174061001,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CILANDAK BARAT,248,8,4,5,231,0,0,0,88,0,88,461,18,443
202007,3174081006,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,CIKOKO,40,1,2,0,37,0,0,0,12,0,12,134,13,121
202007,3171061003,DKI JAKARTA,JAKARTA PUSAT,MENTENG,CIKINI,44,1,0,0,43,0,0,0,0,0,0,114,6,108
